company,role,status,appliedDate,jobUrl,notes
Google,Software Engineering Intern,Interview,2026-06-01,https://careers.google.com/jobs/results/,Passed phone screen. Technical interview scheduled for next week.
Meta,Frontend Engineering Intern,Applied,2026-06-03,https://www.metacareers.com/,Applied via university referral program.
Stripe,Full Stack Engineering Intern,Offer,2026-05-20,https://stripe.com/jobs,"Received offer — $8500/month stipend, 12-week summer term."
Amazon,SDE Intern,Rejected,2026-05-15,https://www.amazon.jobs/,Rejected after OA round. Will reapply next cycle.
Airbnb,iOS Engineering Intern,Applied,2026-06-10,https://careers.airbnb.com/,Submitted via campus portal. Awaiting recruiter screen.
Netflix,Data Engineering Intern,Interview,2026-05-28,https://jobs.netflix.com/,"Two technical rounds done, hiring manager chat pending."
Shopify,Backend Engineering Intern,Applied,2026-06-12,https://www.shopify.com/careers,Applied through LinkedIn. No response yet.
Microsoft,Software Engineering Intern,Interview,2026-06-05,https://careers.microsoft.com/,Completed coding assessment. Team-match call this week.
Apple,Machine Learning Intern,Rejected,2026-05-10,https://jobs.apple.com/,Did not pass initial resume screen. Improving ML projects first.
Notion,Product Engineering Intern,Applied,2026-06-14,https://www.notion.so/careers,"Small team, exciting stack. Dream internship."
Figma,Frontend Engineering Intern,Interview,2026-06-08,https://www.figma.com/careers/,"First round done, design system deep-dive scheduled."
Vercel,Developer Experience Intern,Applied,2026-06-16,https://vercel.com/careers,Applied cold via email to recruiter.
Linear,Full Stack Engineering Intern,Applied,2026-06-17,https://linear.app/careers,Love the product — applied through their site.
Spotify,Web Engineering Intern,Rejected,2026-05-25,https://www.lifeatspotify.com/,Rejected at screening — timezone mismatch with the team.
GitHub,Open Source Engineering Intern,Interview,2026-06-02,https://github.com/about/careers,"Strong fit with open source background, final round this week."
